;Var1;Var2;target;;;;;;;;;
88;96;103;true;,{Var1:96,Var2:103,spam:true};;;;;;;;
89;424;-436;true;,{Var1:424,Var2:-436,spam:true};;;;;;;;
90;39;31;true;,{Var1:39,Var2:31,spam:true};;;;;;;;
91;124;38;true;,{Var1:124,Var2:38,spam:true};;;;;;;;
92;86;71;true;,{Var1:86,Var2:71,spam:true};;;;;;;;
93;315;-216;true;,{Var1:315,Var2:-216,spam:true};;;;;;;;
94;132;114;true;,{Var1:132,Var2:114,spam:true};;;;;;;;
95;39;61;true;,{Var1:39,Var2:61,spam:true};;;;;;;;
96;276;-173;true;,{Var1:276,Var2:-173,spam:true};;;;;;;;
97;13;15;true;,{Var1:13,Var2:15,spam:true};;;;;;;;
98;66;57;true;,{Var1:66,Var2:57,spam:true};;;;;;;;
99;149;232;true;,{Var1:149,Var2:232,spam:true};;;;;;;;
100;216;16;true;,{Var1:216,Var2:16,spam:true};;;;;;;;
101;225;160;true;,{Var1:225,Var2:160,spam:true};;;;;;;;
102;194;-140;true;,{Var1:194,Var2:-140,spam:true};;;;;;;;
103;219;350;true;,{Var1:219,Var2:350,spam:true};;;;;;;;
104;87;102;true;,{Var1:87,Var2:102,spam:true};;;;;;;;
105;89;-38;true;,{Var1:89,Var2:-38,spam:true};;;;;;;;
106;143;141;true;,{Var1:143,Var2:141,spam:true};;;;;;;;
107;357;-355;true;,{Var1:357,Var2:-355,spam:true};;;;;;;;
108;220;-129;true;,{Var1:220,Var2:-129,spam:true};;;;;;;;
109;111;-117;true;,{Var1:111,Var2:-117,spam:true};;;;;;;;
110;198;-146;true;,{Var1:198,Var2:-146,spam:true};;;;;;;;
111;167;72;true;,{Var1:167,Var2:72,spam:true};;;;;;;;
112;209;-152;true;,{Var1:209,Var2:-152,spam:true};;;;;;;;
113;129;-131;true;,{Var1:129,Var2:-131,spam:true};;;;;;;;
114;305;-236;true;,{Var1:305,Var2:-236,spam:true};;;;;;;;
115;15;16;true;,{Var1:15,Var2:16,spam:true};;;;;;;;
116;147;-122;true;,{Var1:147,Var2:-122,spam:true};;;;;;;;
117;113;-116;true;,{Var1:113,Var2:-116,spam:true};;;;;;;;
118;103;-5;true;,{Var1:103,Var2:-5,spam:true};;;;;;;;
119;286;-250;true;,{Var1:286,Var2:-250,spam:true};;;;;;;;
120;243;-171;true;,{Var1:243,Var2:-171,spam:true};;;;;;;;
121;58;28;true;,{Var1:58,Var2:28,spam:true};;;;;;;;
122;156;28;true;,{Var1:156,Var2:28,spam:true};;;;;;;;
123;452;-403;true;,{Var1:452,Var2:-403,spam:true};;;;;;;;
124;109;74;true;,{Var1:109,Var2:74,spam:true};;;;;;;;
125;47;65;true;,{Var1:47,Var2:65,spam:true};;;;;;;;
126;121;-7;true;,{Var1:121,Var2:-7,spam:true};;;;;;;;
127;122;36;true;,{Var1:122,Var2:36,spam:true};;;;;;;;
128;104;135;true;,{Var1:104,Var2:135,spam:true};;;;;;;;
129;50;66;true;,{Var1:50,Var2:66,spam:true};;;;;;;;
130;316;263;true;,{Var1:316,Var2:263,spam:true};;;;;;;;
131;116;173;true;,{Var1:116,Var2:173,spam:true};;;;;;;;
132;114;130;true;,{Var1:114,Var2:130,spam:true};;;;;;;;
133;123;102;true;,{Var1:123,Var2:102,spam:true};;;;;;;;
134;252;-198;true;,{Var1:252,Var2:-198,spam:true};;;;;;;;
135;108;115;true;,{Var1:108,Var2:115,spam:true};;;;;;;;
136;120;-33;true;,{Var1:120,Var2:-33,spam:true};;;;;;;;
137;106;-113;true;,{Var1:106,Var2:-113,spam:true};;;;;;;;
138;168;-66;true;,{Var1:168,Var2:-66,spam:true};;;;;;;;
139;262;152;true;,{Var1:262,Var2:152,spam:true};;;;;;;;
140;95;90;true;,{Var1:95,Var2:90,spam:true};;;;;;;;
141;137;56;true;,{Var1:137,Var2:56,spam:true};;;;;;;;
142;182;-129;true;,{Var1:182,Var2:-129,spam:true};;;;;;;;
143;331;-253;true;,{Var1:331,Var2:-253,spam:true};;;;;;;;
144;45;42;true;,{Var1:45,Var2:42,spam:true};;;;;;;;
145;152;23;true;,{Var1:152,Var2:23,spam:true};;;;;;;;
146;178;148;true;,{Var1:178,Var2:148,spam:true};;;;;;;;
147;132;91;true;,{Var1:132,Var2:91,spam:true};;;;;;;;
148;132;-4;true;,{Var1:132,Var2:-4,spam:true};;;;;;;;
149;170;104;true;,{Var1:170,Var2:104,spam:true};;;;;;;;
150;196;-132;true;,{Var1:196,Var2:-132,spam:true};;;;;;;;
151;179;217;true;,{Var1:179,Var2:217,spam:true};;;;;;;;
152;145;-10;true;,{Var1:145,Var2:-10,spam:true};;;;;;;;
153;206;-166;true;,{Var1:206,Var2:-166,spam:true};;;;;;;;
154;242;90;true;,{Var1:242,Var2:90,spam:true};;;;;;;;
155;129;-103;true;,{Var1:129,Var2:-103,spam:true};;;;;;;;
156;87;58;true;,{Var1:87,Var2:58,spam:true};;;;;;;;
157;95;103;true;,{Var1:95,Var2:103,spam:true};;;;;;;;
158;134;77;true;,{Var1:134,Var2:77,spam:true};;;;;;;;
159;43;42;true;,{Var1:43,Var2:42,spam:true};;;;;;;;
160;355;-355;true;,{Var1:355,Var2:-355,spam:true};;;;;;;;
161;131;114;true;,{Var1:131,Var2:114,spam:true};;;;;;;;
162;99;65;true;,{Var1:99,Var2:65,spam:true};;;;;;;;
163;100;44;true;,{Var1:100,Var2:44,spam:true};;;;;;;;
164;30;-11;true;,{Var1:30,Var2:-11,spam:true};;;;;;;;
165;99;61;true;,{Var1:99,Var2:61,spam:true};;;;;;;;
166;73;85;true;,{Var1:73,Var2:85,spam:true};;;;;;;;
167;231;23;true;,{Var1:231,Var2:23,spam:true};;;;;;;;
168;32;17;true;,{Var1:32,Var2:17,spam:true};;;;;;;;
169;67;30;true;,{Var1:67,Var2:30,spam:true};;;;;;;;
170;157;176;true;,{Var1:157,Var2:176,spam:true};;;;;;;;
171;216;-86;true;,{Var1:216,Var2:-86,spam:true};;;;;;;;
172;171;-31;true;,{Var1:171,Var2:-31,spam:true};;;;;;;;
173;114;137;true;,{Var1:114,Var2:137,spam:true};;;;;;;;
174;100;53;true;,{Var1:100,Var2:53,spam:true};;;;;;;;
175;25;26;true;,{Var1:25,Var2:26,spam:true};;;;;;;;
176;320;334;true;,{Var1:320,Var2:334,spam:true};;;;;;;;
177;166;-39;true;,{Var1:166,Var2:-39,spam:true};;;;;;;;
178;141;76;true;,{Var1:141,Var2:76,spam:true};;;;;;;;
179;89;30;true;,{Var1:89,Var2:30,spam:true};;;;;;;;
180;217;182;true;,{Var1:217,Var2:182,spam:true};;;;;;;;
181;327;-260;true;,{Var1:327,Var2:-260,spam:true};;;;;;;;
182;117;-32;true;,{Var1:117,Var2:-32,spam:true};;;;;;;;
183;58;54;true;,{Var1:58,Var2:54,spam:true};;;;;;;;
184;58;67;true;,{Var1:58,Var2:67,spam:true};;;;;;;;
185;142;-4;true;,{Var1:142,Var2:-4,spam:true};;;;;;;;
186;115;-43;true;,{Var1:115,Var2:-43,spam:true};;;;;;;;
187;155;-104;true;,{Var1:155,Var2:-104,spam:true};;;;;;;;
188;73;93;true;,{Var1:73,Var2:93,spam:true};;;;;;;;
189;170;-83;true;,{Var1:170,Var2:-83,spam:true};;;;;;;;
190;83;47;true;,{Var1:83,Var2:47,spam:true};;;;;;;;
191;38;5;true;,{Var1:38,Var2:5,spam:true};;;;;;;;
192;277;-223;true;,{Var1:277,Var2:-223,spam:true};;;;;;;;
193;87;13;true;,{Var1:87,Var2:13,spam:true};;;;;;;;
194;91;110;true;,{Var1:91,Var2:110,spam:true};;;;;;;;
195;61;57;true;,{Var1:61,Var2:57,spam:true};;;;;;;;
196;99;38;true;,{Var1:99,Var2:38,spam:true};;;;;;;;
197;131;110;true;,{Var1:131,Var2:110,spam:true};;;;;;;;
198;77;45;true;,{Var1:77,Var2:45,spam:true};;;;;;;;
199;126;131;true;,{Var1:126,Var2:131,spam:true};;;;;;;;
200;187;88;true;,{Var1:187,Var2:88,spam:true};;;;;;;;
201;172;142;true;,{Var1:172,Var2:142,spam:true};;;;;;;;
202;75;-16;true;,{Var1:75,Var2:-16,spam:true};;;;;;;;
203;83;81;true;,{Var1:83,Var2:81,spam:true};;;;;;;;
204;112;41;true;,{Var1:112,Var2:41,spam:true};;;;;;;;
205;174;223;true;,{Var1:174,Var2:223,spam:true};;;;;;;;
206;262;439;true;,{Var1:262,Var2:439,spam:true};;;;;;;;
207;164;172;true;,{Var1:164,Var2:172,spam:true};;;;;;;;
208;228;-158;true;,{Var1:228,Var2:-158,spam:true};;;;;;;;
209;160;46;true;,{Var1:160,Var2:46,spam:true};;;;;;;;
210;169;72;true;,{Var1:169,Var2:72,spam:true};;;;;;;;
211;248;199;true;,{Var1:248,Var2:199,spam:true};;;;;;;;
212;313;281;true;,{Var1:313,Var2:281,spam:true};;;;;;;;
213;180;-136;true;,{Var1:180,Var2:-136,spam:true};;;;;;;;
214;122;51;true;,{Var1:122,Var2:51,spam:true};;;;;;;;
215;25;29;true;,{Var1:25,Var2:29,spam:true};;;;;;;;
216;99;91;true;,{Var1:99,Var2:91,spam:true};;;;;;;;
217;135;-28;true;,{Var1:135,Var2:-28,spam:true};;;;;;;;
218;178;77;true;,{Var1:178,Var2:77,spam:true};;;;;;;;
219;360;-324;true;,{Var1:360,Var2:-324,spam:true};;;;;;;;
220;105;117;true;,{Var1:105,Var2:117,spam:true};;;;;;;;
221;161;-64;true;,{Var1:161,Var2:-64,spam:true};;;;;;;;
222;151;-4;true;,{Var1:151,Var2:-4,spam:true};;;;;;;;
223;100;69;true;,{Var1:100,Var2:69,spam:true};;;;;;;;
224;340;227;true;,{Var1:340,Var2:227,spam:true};;;;;;;;
225;107;-114;true;,{Var1:107,Var2:-114,spam:true};;;;;;;;
226;118;154;true;,{Var1:118,Var2:154,spam:true};;;;;;;;
227;123;134;true;,{Var1:123,Var2:134,spam:true};;;;;;;;
228;101;80;true;,{Var1:101,Var2:80,spam:true};;;;;;;;
229;80;18;true;,{Var1:80,Var2:18,spam:true};;;;;;;;
230;10;3;true;,{Var1:10,Var2:3,spam:true};;;;;;;;
231;148;-17;true;,{Var1:148,Var2:-17,spam:true};;;;;;;;
232;154;6;true;,{Var1:154,Var2:6,spam:true};;;;;;;;
233;142;-4;true;,{Var1:142,Var2:-4,spam:true};;;;;;;;
234;204;1;true;,{Var1:204,Var2:1,spam:true};;;;;;;;
235;189;28;true;,{Var1:189,Var2:28,spam:true};;;;;;;;
236;353;-269;true;,{Var1:353,Var2:-269,spam:true};;;;;;;;
237;327;-260;true;,{Var1:327,Var2:-260,spam:true};;;;;;;;
238;245;-141;true;,{Var1:245,Var2:-141,spam:true};;;;;;;;
239;163;-99;true;,{Var1:163,Var2:-99,spam:true};;;;;;;;
240;38;61;true;,{Var1:38,Var2:61,spam:true};;;;;;;;
241;327;-260;true;,{Var1:327,Var2:-260,spam:true};;;;;;;;
242;63;59;true;,{Var1:63,Var2:59,spam:true};;;;;;;;
243;235;99;true;,{Var1:235,Var2:99,spam:true};;;;;;;;
244;301;-202;true;,{Var1:301,Var2:-202,spam:true};;;;;;;;
245;310;202;true;,{Var1:310,Var2:202,spam:true};;;;;;;;
246;89;-38;true;,{Var1:89,Var2:-38,spam:true};;;;;;;;
247;21;12;true;,{Var1:21,Var2:12,spam:true};;;;;;;;
248;135;153;true;,{Var1:135,Var2:153,spam:true};;;;;;;;
249;1;2;true;,{Var1:1,Var2:2,spam:true};;;;;;;;
250;258;260;true;,{Var1:258,Var2:260,spam:true};;;;;;;;
251;189;128;true;,{Var1:189,Var2:128,spam:true};;;;;;;;
252;229;150;true;,{Var1:229,Var2:150,spam:true};;;;;;;;
253;220;-129;true;,{Var1:220,Var2:-129,spam:true};;;;;;;;
254;116;-29;true;,{Var1:116,Var2:-29,spam:true};;;;;;;;
255;137;97;true;,{Var1:137,Var2:97,spam:true};;;;;;;;
256;163;224;true;,{Var1:163,Var2:224,spam:true};;;;;;;;
257;93;110;true;,{Var1:93,Var2:110,spam:true};;;;;;;;
258;169;186;true;,{Var1:169,Var2:186,spam:true};;;;;;;;
259;123;-60;true;,{Var1:123,Var2:-60,spam:true};;;;;;;;
260;233;172;true;,{Var1:233,Var2:172,spam:true};;;;;;;;
261;152;156;true;,{Var1:152,Var2:156,spam:true};;;;;;;;
262;117;-115;true;,{Var1:117,Var2:-115,spam:true};;;;;;;;
263;164;200;true;,{Var1:164,Var2:200,spam:true};;;;;;;;
264;246;-105;true;,{Var1:246,Var2:-105,spam:true};;;;;;;;
265;149;-109;true;,{Var1:149,Var2:-109,spam:true};;;;;;;;
266;83;47;true;,{Var1:83,Var2:47,spam:true};;;;;;;;
267;269;-236;true;,{Var1:269,Var2:-236,spam:true};;;;;;;;
268;196;167;true;,{Var1:196,Var2:167,spam:true};;;;;;;;
269;29;44;true;,{Var1:29,Var2:44,spam:true};;;;;;;;
270;99;8;true;,{Var1:99,Var2:8,spam:true};;;;;;;;
271;60;78;true;,{Var1:60,Var2:78,spam:true};;;;;;;;
272;81;23;true;,{Var1:81,Var2:23,spam:true};;;;;;;;
273;117;112;true;,{Var1:117,Var2:112,spam:true};;;;;;;;
274;48;-2;true;,{Var1:48,Var2:-2,spam:true};;;;;;;;
275;142;-63;true;,{Var1:142,Var2:-63,spam:true};;;;;;;;
276;270;65;true;,{Var1:270,Var2:65,spam:true};;;;;;;;
277;329;-321;true;,{Var1:329,Var2:-321,spam:true};;;;;;;;
278;235;161;true;,{Var1:235,Var2:161,spam:true};;;;;;;;
279;127;-17;true;,{Var1:127,Var2:-17,spam:true};;;;;;;;
280;174;223;true;,{Var1:174,Var2:223,spam:true};;;;;;;;
281;120;-59;true;,{Var1:120,Var2:-59,spam:true};;;;;;;;
282;132;91;true;,{Var1:132,Var2:91,spam:true};;;;;;;;
283;133;-19;true;,{Var1:133,Var2:-19,spam:true};;;;;;;;
284;262;439;true;,{Var1:262,Var2:439,spam:true};;;;;;;;
285;126;91;true;,{Var1:126,Var2:91,spam:true};;;;;;;;
286;34;33;true;,{Var1:34,Var2:33,spam:true};;;;;;;;
287;90;-8;true;,{Var1:90,Var2:-8,spam:true};;;;;;;;
288;0;0;true;,{Var1:0,Var2:0,spam:true};;;;;;;;
289;185;54;true;,{Var1:185,Var2:54,spam:true};;;;;;;;
290;86;87;true;,{Var1:86,Var2:87,spam:true};;;;;;;;
291;187;66;true;,{Var1:187,Var2:66,spam:true};;;;;;;;
292;202;273;true;,{Var1:202,Var2:273,spam:true};;;;;;;;
293;306;-230;true;,{Var1:306,Var2:-230,spam:true};;;;;;;;
294;177;17;true;,{Var1:177,Var2:17,spam:true};;;;;;;;
295;160;251;true;,{Var1:160,Var2:251,spam:true};;;;;;;;
296;132;87;true;,{Var1:132,Var2:87,spam:true};;;;;;;;
297;102;110;true;,{Var1:102,Var2:110,spam:true};;;;;;;;
298;26;30;true;,{Var1:26,Var2:30,spam:true};;;;;;;;
299;120;-33;true;,{Var1:120,Var2:-33,spam:true};;;;;;;;
300;170;145;true;,{Var1:170,Var2:145,spam:true};;;;;;;;
301;79;132;true;,{Var1:79,Var2:132,spam:true};;;;;;;;
302;59;57;true;,{Var1:59,Var2:57,spam:true};;;;;;;;
303;252;-217;true;,{Var1:252,Var2:-217,spam:true};;;;;;;;
304;337;354;true;,{Var1:337,Var2:354,spam:true};;;;;;;;
305;174;92;true;,{Var1:174,Var2:92,spam:true};;;;;;;;
306;119;118;true;,{Var1:119,Var2:118,spam:true};;;;;;;;
307;197;46;true;,{Var1:197,Var2:46,spam:true};;;;;;;;
308;69;50;true;,{Var1:69,Var2:50,spam:true};;;;;;;;
309;203;51;true;,{Var1:203,Var2:51,spam:true};;;;;;;;
310;141;-44;true;,{Var1:141,Var2:-44,spam:true};;;;;;;;
311;102;-29;true;,{Var1:102,Var2:-29,spam:true};;;;;;;;
312;286;193;true;,{Var1:286,Var2:193,spam:true};;;;;;;;
313;70;55;true;,{Var1:70,Var2:55,spam:true};;;;;;;;
314;337;-334;true;,{Var1:337,Var2:-334,spam:true};;;;;;;;
315;152;29;true;,{Var1:152,Var2:29,spam:true};;;;;;;;
316;56;37;true;,{Var1:56,Var2:37,spam:true};;;;;;;;
317;54;46;true;,{Var1:54,Var2:46,spam:true};;;;;;;;
318;302;-264;true;,{Var1:302,Var2:-264,spam:true};;;;;;;;
319;26;18;true;,{Var1:26,Var2:18,spam:true};;;;;;;;
320;63;59;true;,{Var1:63,Var2:59,spam:true};;;;;;;;
321;145;-66;true;,{Var1:145,Var2:-66,spam:true};;;;;;;;
322;238;169;true;,{Var1:238,Var2:169,spam:true};;;;;;;;
323;372;-365;true;,{Var1:372,Var2:-365,spam:true};;;;;;;;
324;34;33;true;,{Var1:34,Var2:33,spam:true};;;;;;;;
325;70;-8;true;,{Var1:70,Var2:-8,spam:true};;;;;;;;
326;127;-48;true;,{Var1:127,Var2:-48,spam:true};;;;;;;;
327;54;50;true;,{Var1:54,Var2:50,spam:true};;;;;;;;
328;143;35;true;,{Var1:143,Var2:35,spam:true};;;;;;;;
329;228;216;true;,{Var1:228,Var2:216,spam:true};;;;;;;;
330;121;-7;true;,{Var1:121,Var2:-7,spam:true};;;;;;;;
331;80;79;true;,{Var1:80,Var2:79,spam:true};;;;;;;;
